keyword,location,text,target,null_location
apocalypse,ColoRADo,I'm gonna fight Taylor as soon as I get there.,0,0
apocalypse,sindria,ohH NO FUKURODANI DIDN'T SURVIVE THE APOCALYPSE BOKUTO FEELS HORRIBLE  my poor boy my ppor child,1,0
apocalypse,,will there be another jocelyn birthday apocalypse,0,1
apocalypse,,RT: janenelson097: RT StephenSCIFI: Adaptation Watch: Charlie Human's APOCALYPSE NOW NOW Optioned for Film #sciencefiction Û_,0,1
apocalypse,Texas,Apocalypse please,0,0
apocalypse,"Elk Grove, CA, USA",Another hour! It's August 05 2015 at 08:02PM Here's Red Rover Zombie Apocalypse 2014! http://t.co/cf9e6TU3g7 #internetradio #collegeradiÛ_,1,0
apocalypse,Texas,@HoneyBunzGem @primalkitchen I feel like me doing a pull-up is one of the stages of the Apocalypse.,0,0
apocalypse,,She's kinda hot played on the radio today. What's next? Disease to all? The apocalypse has started everyone. Be careful.,0,1
apocalypse,The Shire,But if it's the apocalypse lol gf m8,0,0
apocalypse,"Austin, TX",I know it's a question of interpretation but this is a sign of the apocalypse.  I called it https://t.co/my8q1uWIjn,1,0
apocalypse,Oakland,Julie + R is the apocalypse version of Romeo + Juliet #warmbodies,0,0
apocalypse,,the apocalypse is upon us,0,1
apocalypse,,RT: fittscott: Minecraft- NIGHT LUCKY BLOCK MOD (BOB APOCALYPSE WITHER 2.0 &amp; MORE!) Mod Showcase Popularmmos: http://t.co/MuL1J9AEUx viÛ_,0,1
apocalypse,Albuquerque,And so it begins.. day one of the snow apocalypse,1,0
apocalypse,,"RT: Our_Mother_Mary: Short Reading

Apocalypse 21:1023 

In the spirit the angel took me to the top of an enormous high mountain and... Û_",0,1
apocalypse,"Buenos Aires, Argentina",candylit: Imagine sarumi in a zombie apocalypse Fighting back to back Heart to heart conversations over the... http://t.co/xIZkjffF29,0,0
apocalypse,,RT: ZONEWolf123: I liked a YouTube video http://t.co/u66kYg11ZD Minecraft: NIGHT LUCKY BLOCK MOD (BOB APOCALYPSE WITHER 2.0 &amp; MORE!) MoÛ_,0,1
apocalypse,,And that's because on my planet it's the lone audience of the apocalypse!,0,1
apocalypse,"San Antonio-ish, TX",Dad bought a DVD that looks like a science doc on the front but I read the back and it's actually about the impending biblical apocalypse,1,0
apocalypse,San Francisco,@alexandrapullin It is indeed. If the apocalypse comes this week I know where I'll be :),0,0
apocalypse,"Oregon, USA",GO LOOK AT GRIZZLY PEAK RIGHT NOW... It looks like the beginning of an dystopian apocalypse movie,0,0
apocalypse,"Harlingen, TX",My niece just asked me 'would you be scared if there was an apocalypse here?' ????,0,0
apocalypse,Buffalo NY,There's a Storm over Cairo in the latest 'X-Men Apocalypse' set photo https://t.co/fS012trUDG via @YahooTV,1,0
apocalypse,,Minecraft- NIGHT LUCKY BLOCK MOD (BOB APOCALYPSE WITHER 2.0 &amp; MORE!) Mod Showcase Popularmmos: http://t.co/TNgYE2FKlv via @YouTube,0,1
apocalypse,,Shot Through The Heart XV: You are going to totally give love a bad name with this heart pierc http://t.co/xpFmR368uF http://t.co/ejdHvLKXAf,0,1
apocalypse,,RT: Geek_Apocalypse: 4pm GMT :Hesse plays dark souls 2 day 9: http://t.co/TnGPsHNL87 http://t.co/imzLNZLtF5 #etcPB,0,1
apocalypse,Las Vegas,I know where to go when the zombies take over!! http://t.co/hUTHXlkyxy,0,0
apocalypse,,The latest from @BryanSinger reveals #Storm is a queen in #Apocalypse @RuPaul @AlexShipppp http://t.co/oQw8Jx6rTs,1,1
apocalypse,,Shadow boxing the apocalypse,1,1
apocalypse,,"Short Reading

Apocalypse 21:1023 

In the spirit the angel took me to the top of an enormous high mountain and... http://t.co/v8AfTD9zeZ",1,1
apocalypse,Tokyo,Enjoyed live-action Attack on Titan but every time I see posters I'm reminded how freshly clean and coiffed everyone is in the apocalypse.,0,0
apocalypse,,I liked a @YouTube video http://t.co/ki1yKrs9fi Minecraft: NIGHT LUCKY BLOCK MOD (BOB APOCALYPSE WITHER 2.0 &amp; MORE!) Mod Showcase,0,1
